simulated_channel_case,seed,status,parameters_json,metrics_json
D3_auction_contention,7446529,xfail,"{""acquisition_seed"":2779054081,""acquisition_sidelobe_guard_samples"":48,""acquisition_symbols"":64,""aes_initial_counter_hex"":""00000000000000000000000000000000"",""aes_key_generation"":""16 zero bytes (test fixture only)"",""agc_attack_ms"":1.0,""agc_decay_ms"":100.0,""agc_envelope"":""linear dB attack to requested step; 50 ms hold; linear dB decay to baseline"",""agc_start_s"":0.1,""agc_step_db"":0.0,""auction_intake"":0,""audio_event"":"""",""audio_event_s"":0.5,""audio_filter"":""129-tap Hamming-window FIR + two first-order edge allpasses"",""bandwidth_hz"":24000,""calibrate_clip"":0,""capacity_messages_per_s"":100.0,""carrier_correction"":0,""channel_model"":""null"",""chunk_samples"":256,""clip_amplitude"":null,""clock_ppm"":0.0,""constellation_profile"":""mil_std_188_110c_wbhf"",""convolutional_constraint_length"":7,""convolutional_generators_octal"":[""171"",""133""],""crypto"":""AES-128-CTR, fixed test key/counter, no AEAD"",""cw_hz"":0.0,""cw_sir_db"":null,""data_sir_db"":null,""decoded_bit_confidence_threshold"":0.2,""delay_spread_ms"":0.0,""direct_survival"":1.0,""doppler_definition"":""2*sigma of Gaussian power spectrum; zero path carrier shifts"",""doppler_spread_hz"":1.0,""dropout_duration_s"":0.0,""dropout_start_s"":0.0,""duration_s"":600,""equalizer"":{""enabled"":true,""feedback_taps"":4,""feedforward_taps"":3},""execution"":""simulated channel"",""fec"":""none"",""filter_bandwidth_hz"":0.0,""flood"":0,""frame_counter_start"":7000,""frame_symbols"":64,""gaussian_fading_filter"":""129 taps at 32*spread Hz; stationary initialized history; linear audio interpolation"",""git_commit"":""adb3e6d72fac540712255792a1836df655ca4f4f"",""group_delay_ripple_ms"":0.0,""header_repetition"":3,""host_timing"":0,""impulse_above_noise_db"":0.0,""impulse_arrivals"":""periodic at declared rate; Gaussian burst RMS relative to Gaussian floor"",""impulse_ms"":0.0,""impulses_per_second"":0.0,""instruments"":16,""interferer_start_s"":0.0,""interleaver"":""none (not implemented)"",""jitter_ms"":0.0,""measurement_layer"":""auction submit to simulated transmitter service; downstream unmeasured"",""message_input_ring_capacity"":1024,""message_interval_s"":0.01,""message_output_ring_capacity"":1024,""mode"":""scheduler"",""modeled_propagation_delay_s"":0,""modulation"":""qpsk"",""noise_file"":"""",""notch_center_hz"":0.0,""notch_depth_db"":0.0,""notch_width_hz"":0.0,""overload"":10,""path0_db"":0.0,""path1_db"":0.0,""path_gains_db"":[0.0,0.0],""path_power_normalization"":""sum of mean path powers = 1"",""pattern"":""random"",""phase_rad"":0.0,""pilot_interval_symbols"":32,""pilot_sequence"":[0,3],""pure_noise"":0,""raw_bit_rate_bps"":38400.0,""receiver_oversampling"":1,""require_avx512"":1,""residual_drift_hz_per_second"":0.0,""residual_offset_hz"":0.0,""rrc_rolloff"":0.25,""sample_clock_resampler"":""linear fractional interpolation"",""sample_rate_hz"":48000,""sample_slip"":0,""sample_slip_index"":-1,""scheduler_log_ring_capacity"":64,""scheduler_transmit_ring_capacity"":8,""seed"":7446529,""seed_policy"":""mt19937 Box-Muller; independent XOR-derived stage seeds; counter-based payload"",""semantics"":""duplicate"",""shaping_span_symbols"":8,""snr_db"":null,""snr_definition"":""nominal unit-mean-constellation complex-sample signal/noise power before fading; not 3 kHz SNR or Eb/N0"",""soak"":0,""soft_clip"":0,""source_load_factor"":0,""source_revision_note"":""git_commit is the base revision; source_tree_sha256 identifies the tested working-tree snapshot"",""source_tree_sha256"":""689cffeeb591c847be935c9f97ca257257f6d9ea4da708a24650a17d2a80277a"",""stage_order"":[""channel"",""interferers"",""impulsive_noise"",""dropout"",""agc"",""clipping"",""band_limiting"",""sample_rate_mismatch"",""residual_offset_drift"",""audio_jitter""],""stage_seeds"":{""gaussian_noise"":7446529,""impulses"":425104558,""interferer"":3806705722,""payload"":3227519775,""rayleigh_path0"":1677424930,""rayleigh_path1"":3376316778},""symbol_rate_hz"":19200.0,""sync_timestamp_enabled"":false,""thresholds"":{""acquisition"":0.25,""pilot"":0.08,""symbol"":0.08},""training_seed"":1515847682,""training_symbols"":64,""tx_gain"":0.65,""waveform"":""Goblin Cannon single-carrier RRC; not a certified Appendix D waveform""}","{""acquisition_time_s"":null,""ber"":null,""bit_observation_fraction"":null,""coded_ber"":null,""frame_error_rate"":null,""frame_survival_fraction"":null,""freshness_ms"":{""max"":19.999999999999975,""p50"":15.00000076202923,""p99"":19.999999900278453,""p99_9"":19.999999999130047},""goodput_bps"":null,""latency_ms"":{""max"":19.999999999999975,""p50"":15.00000076202923,""p99"":19.999999900278453,""p99_9"":19.999999999130047},""latency_ms_by_window"":{""0"":{""max"":19.999999999999975,""p50"":15.000000002540759,""p99"":19.999999999122053,""p99_9"":19.999999999999908},""1"":{""max"":19.99999999999602,""p50"":15.000000046484274,""p99"":19.99999998051294,""p99_9"":19.999999998418616},""2"":{""max"":19.99999981543965,""p50"":15.999999544590082,""p99"":19.99999979446443,""p99_9"":19.99999981360645},""3"":{""max"":19.99999948475306,""p50"":15.999999201142145,""p99"":19.999999455933448,""p99_9"":19.999999481342456},""4"":{""max"":19.999999996116458,""p50"":15.99999908916061,""p99"":19.99999987447154,""p99_9"":19.99999997769919},""5"":{""max"":19.000001413360224,""p50"":15.000000095824362,""p99"":19.00000128330248,""p99_9"":19.000001403355782},""6"":{""max"":19.000002781240255,""p50"":15.000001591715773,""p99"":19.000002668008165,""p99_9"":19.00000277350955},""7"":{""max"":19.000004143890692,""p50"":15.000002929127731,""p99"":19.00000401201396,""p99_9"":19.000004125473424},""8"":{""max"":19.000005508587492,""p50"":15.000004279954737,""p99"":19.0000054126358,""p99_9"":19.000005498128303},""9"":{""max"":19.000006873284292,""p50"":15.000005652609616,""p99"":19.000006727310392,""p99_9"":19.000006863734598}},""message_survival_fraction"":0.09999983333361111,""missing_metric_reasons"":{""ber"":""No comparable RF bits observed, or this probe does not expose bit decisions."",""goodput_bps"":""Probe does not observe delivered application/RF bits."",""reacquisition_time_s"":""No post-dropout valid header observed, or no dropout in this case."",""stac_adjusted_goodput"":""Audit attachment requires login; adjustment and standby definitions unverified."",""stac_usable_time_fraction"":""No production standby-time instrumentation; local proxy is separately labeled.""},""newest_latency_ms_by_key"":{""0"":{""max"":15.999999999925407,""p50"":12.000005526942914,""p99"":15.999999992182268,""p99_9"":15.999999999753989},""1"":{""max"":15.000006847913028,""p50"":13.000000320289473,""p99"":15.000006311311154,""p99_9"":15.00000683881808},""10"":{""max"":15.999999999888104,""p50"":12.00000600920248,""p99"":15.99999999256596,""p99_9"":15.999999999238845},""11"":{""max"":15.000006846321412,""p50"":13.0000000422541,""p99"":15.000006438867786,""p99_9"":15.000006833588486},""12"":{""max"":15.999999999914749,""p50"":12.000006317748557,""p99"":15.999999994303238,""p99_9"":15.999999999658954},""13"":{""max"":15.000006869286153,""p50"":13.000000052613814,""p99"":15.000006614627637,""p99_9"":15.000006842001312},""14"":{""max"":15.999999999999904,""p50"":12.00000602966611,""p99"":15.999999992928338,""p99_9"":15.999999999487535},""15"":{""max"":15.000006870423022,""p50"":13.000000508327503,""p99"":15.00000657028977,""p99_9"":15.000006839500202},""2"":{""max"":15.999999999999904,""p50"":12.000006592188583,""p99"":15.999999993482561,""p99_9"":15.999999999824155},""3"":{""max"":15.000006859963833,""p50"":13.000000239571818,""p99"":15.000006465243132,""p99_9"":15.000006832678991},""4"":{""max"":15.999999999999904,""p50"":12.00000552921665,""p99"":15.999999993152159,""p99_9"":15.999999999632308},""5"":{""max"":15.000006873833627,""p50"":13.000000531746991,""p99"":15.000006624632078,""p99_9"":15.000006857462722},""6"":{""max"":15.99999999989965,""p50"":12.000006219750503,""p99"":15.999999993709935,""p99_9"":15.999999999706915},""7"":{""max"":15.000006845866665,""p50"":13.00000026003545,""p99"":15.000006500258678,""p99_9"":15.000006820400813},""8"":{""max"":15.999999999999904,""p50"":12.000005720665285,""p99"":15.999999989197988,""p99_9"":15.999999999525727},""9"":{""max"":15.000006872469385,""p50"":13.00000037576865,""p99"":15.0000064923006,""p99_9"":15.000006839727575}},""reacquisition_time_s"":null,""stac_adjusted_goodput"":null,""stac_usable_time_fraction"":null,""uptime_fraction"":null,""usable_time_fraction"":null}"
D3_auction_flood,7446529,xfail,"{""acquisition_seed"":2779054081,""acquisition_sidelobe_guard_samples"":48,""acquisition_symbols"":64,""aes_initial_counter_hex"":""00000000000000000000000000000000"",""aes_key_generation"":""16 zero bytes (test fixture only)"",""agc_attack_ms"":1.0,""agc_decay_ms"":100.0,""agc_envelope"":""linear dB attack to requested step; 50 ms hold; linear dB decay to baseline"",""agc_start_s"":0.1,""agc_step_db"":0.0,""auction_intake"":0,""audio_event"":"""",""audio_event_s"":0.5,""audio_filter"":""129-tap Hamming-window FIR + two first-order edge allpasses"",""bandwidth_hz"":24000,""calibrate_clip"":0,""capacity_messages_per_s"":100.0,""carrier_correction"":0,""channel_model"":""null"",""chunk_samples"":256,""clip_amplitude"":null,""clock_ppm"":0.0,""constellation_profile"":""mil_std_188_110c_wbhf"",""convolutional_constraint_length"":7,""convolutional_generators_octal"":[""171"",""133""],""crypto"":""AES-128-CTR, fixed test key/counter, no AEAD"",""cw_hz"":0.0,""cw_sir_db"":null,""data_sir_db"":null,""decoded_bit_confidence_threshold"":0.2,""delay_spread_ms"":0.0,""direct_survival"":1.0,""doppler_definition"":""2*sigma of Gaussian power spectrum; zero path carrier shifts"",""doppler_spread_hz"":1.0,""dropout_duration_s"":0.0,""dropout_start_s"":0.0,""duration_s"":600,""equalizer"":{""enabled"":true,""feedback_taps"":4,""feedforward_taps"":3},""execution"":""simulated channel"",""fec"":""none"",""filter_bandwidth_hz"":0.0,""flood"":1,""frame_counter_start"":7000,""frame_symbols"":64,""gaussian_fading_filter"":""129 taps at 32*spread Hz; stationary initialized history; linear audio interpolation"",""git_commit"":""adb3e6d72fac540712255792a1836df655ca4f4f"",""group_delay_ripple_ms"":0.0,""header_repetition"":3,""host_timing"":0,""impulse_above_noise_db"":0.0,""impulse_arrivals"":""periodic at declared rate; Gaussian burst RMS relative to Gaussian floor"",""impulse_ms"":0.0,""impulses_per_second"":0.0,""instruments"":16,""interferer_start_s"":0.0,""interleaver"":""none (not implemented)"",""jitter_ms"":0.0,""measurement_layer"":""auction submit to simulated transmitter service; downstream unmeasured"",""message_input_ring_capacity"":1024,""message_interval_s"":0.01,""message_output_ring_capacity"":1024,""mode"":""scheduler"",""modeled_propagation_delay_s"":0,""modulation"":""qpsk"",""noise_file"":"""",""notch_center_hz"":0.0,""notch_depth_db"":0.0,""notch_width_hz"":0.0,""overload"":10,""path0_db"":0.0,""path1_db"":0.0,""path_gains_db"":[0.0,0.0],""path_power_normalization"":""sum of mean path powers = 1"",""pattern"":""random"",""phase_rad"":0.0,""pilot_interval_symbols"":32,""pilot_sequence"":[0,3],""pure_noise"":0,""raw_bit_rate_bps"":38400.0,""receiver_oversampling"":1,""require_avx512"":1,""residual_drift_hz_per_second"":0.0,""residual_offset_hz"":0.0,""rrc_rolloff"":0.25,""sample_clock_resampler"":""linear fractional interpolation"",""sample_rate_hz"":48000,""sample_slip"":0,""sample_slip_index"":-1,""scheduler_log_ring_capacity"":64,""scheduler_transmit_ring_capacity"":8,""seed"":7446529,""seed_policy"":""mt19937 Box-Muller; independent XOR-derived stage seeds; counter-based payload"",""semantics"":""duplicate"",""shaping_span_symbols"":8,""snr_db"":null,""snr_definition"":""nominal unit-mean-constellation complex-sample signal/noise power before fading; not 3 kHz SNR or Eb/N0"",""soak"":0,""soft_clip"":0,""source_load_factor"":0,""source_revision_note"":""git_commit is the base revision; source_tree_sha256 identifies the tested working-tree snapshot"",""source_tree_sha256"":""689cffeeb591c847be935c9f97ca257257f6d9ea4da708a24650a17d2a80277a"",""stage_order"":[""channel"",""interferers"",""impulsive_noise"",""dropout"",""agc"",""clipping"",""band_limiting"",""sample_rate_mismatch"",""residual_offset_drift"",""audio_jitter""],""stage_seeds"":{""gaussian_noise"":7446529,""impulses"":425104558,""interferer"":3806705722,""payload"":3227519775,""rayleigh_path0"":1677424930,""rayleigh_path1"":3376316778},""symbol_rate_hz"":19200.0,""sync_timestamp_enabled"":false,""thresholds"":{""acquisition"":0.25,""pilot"":0.08,""symbol"":0.08},""training_seed"":1515847682,""training_symbols"":64,""tx_gain"":0.65,""waveform"":""Goblin Cannon single-carrier RRC; not a certified Appendix D waveform""}","{""acquisition_time_s"":null,""ber"":null,""bit_observation_fraction"":null,""coded_ber"":null,""frame_error_rate"":null,""frame_survival_fraction"":null,""freshness_ms"":{""max"":19.999999999999996,""p50"":19.000004963345418,""p99"":19.99999999907942,""p99_9"":19.999999999999908},""goodput_bps"":null,""latency_ms"":{""max"":19.999999999999996,""p50"":19.000004963345418,""p99"":19.99999999907942,""p99_9"":19.999999999999908},""latency_ms_by_window"":{""0"":{""max"":19.999999999999996,""p50"":19.000000030075626,""p99"":19.999999999999908,""p99_9"":19.999999999999947},""1"":{""max"":19.99999999999602,""p50"":19.999999853894224,""p99"":19.99999999713964,""p99_9"":19.999999999782858},""2"":{""max"":19.999999815652814,""p50"":19.999999632091203,""p99"":19.999999812711167,""p99_9"":19.999999815354386},""3"":{""max"":19.99999948588993,""p50"":19.999999290973847,""p99"":19.999999481967734,""p99_9"":19.999999485492026},""4"":{""max"":19.999999999527063,""p50"":19.999999220090103,""p99"":19.999999984065653,""p99_9"":19.99999999816282},""5"":{""max"":19.00000141813507,""p50"":19.000000736014044,""p99"":19.00000140449265,""p99_9"":19.00000141677083},""6"":{""max"":19.000002782377123,""p50"":19.000002100256097,""p99"":19.000002768734703,""p99_9"":19.00000278101288},""7"":{""max"":19.000004146619176,""p50"":19.00000346449815,""p99"":19.000004132976755,""p99_9"":19.000004145254934},""8"":{""max"":19.00000551086123,""p50"":19.000004828740202,""p99"":19.000005497218808,""p99_9"":19.000005509496987},""9"":{""max"":19.00000687510328,""p50"":19.000006192982255,""p99"":19.00000686146086,""p99_9"":19.00000687373904}},""message_survival_fraction"":0.09999983333361111,""missing_metric_reasons"":{""ber"":""No comparable RF bits observed, or this probe does not expose bit decisions."",""goodput_bps"":""Probe does not observe delivered application/RF bits."",""reacquisition_time_s"":""No post-dropout valid header observed, or no dropout in this case."",""stac_adjusted_goodput"":""Audit attachment requires login; adjustment and standby definitions unverified."",""stac_usable_time_fraction"":""No production standby-time instrumentation; local proxy is separately labeled.""},""newest_latency_ms_by_key"":{""0"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""1"":{""max"":10,""p50"":10,""p99"":10,""p99_9"":10},""10"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""11"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""12"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""13"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""14"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""15"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""2"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""3"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""4"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""5"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""6"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""7"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""8"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null},""9"":{""max"":null,""p50"":null,""p99"":null,""p99_9"":null}},""reacquisition_time_s"":null,""stac_adjusted_goodput"":null,""stac_usable_time_fraction"":null,""uptime_fraction"":null,""usable_time_fraction"":null}"
