simulated_channel_case,seed,status,parameters_json,metrics_json
D1_overload_1.5,7446529,THRESHOLD_TBD,"{""acquisition_seed"":2779054081,""acquisition_sidelobe_guard_samples"":48,""acquisition_symbols"":64,""aes_initial_counter_hex"":""00000000000000000000000000000000"",""aes_key_generation"":""16 zero bytes (test fixture only)"",""agc_attack_ms"":1.0,""agc_decay_ms"":100.0,""agc_envelope"":""linear dB attack to requested step; 50 ms hold; linear dB decay to baseline"",""agc_start_s"":0.1,""agc_step_db"":0.0,""auction_intake"":0,""audio_event"":"""",""audio_event_s"":0.5,""audio_filter"":""129-tap Hamming-window FIR + two first-order edge allpasses"",""bandwidth_hz"":24000,""calibrate_clip"":0,""capacity_messages_per_s"":100.0,""carrier_correction"":0,""channel_model"":""null"",""chunk_samples"":256,""clip_amplitude"":null,""clock_ppm"":0.0,""constellation_profile"":""mil_std_188_110c_wbhf"",""convolutional_constraint_length"":7,""convolutional_generators_octal"":[""171"",""133""],""crypto"":""AES-128-CTR, fixed test key/counter, no AEAD"",""cw_hz"":0.0,""cw_sir_db"":null,""data_sir_db"":null,""decoded_bit_confidence_threshold"":0.2,""delay_spread_ms"":0.0,""direct_survival"":1.0,""doppler_definition"":""2*sigma of Gaussian power spectrum; zero path carrier shifts"",""doppler_spread_hz"":1.0,""dropout_duration_s"":0.0,""dropout_start_s"":0.0,""duration_s"":60,""equalizer"":{""enabled"":true,""feedback_taps"":4,""feedforward_taps"":3},""execution"":""simulated channel"",""fec"":""none"",""filter_bandwidth_hz"":0.0,""flood"":0,""frame_counter_start"":7000,""frame_symbols"":64,""gaussian_fading_filter"":""129 taps at 32*spread Hz; stationary initialized history; linear audio interpolation"",""git_commit"":""adb3e6d72fac540712255792a1836df655ca4f4f"",""group_delay_ripple_ms"":0.0,""header_repetition"":3,""host_timing"":0,""impulse_above_noise_db"":0.0,""impulse_arrivals"":""periodic at declared rate; Gaussian burst RMS relative to Gaussian floor"",""impulse_ms"":0.0,""impulses_per_second"":0.0,""instruments"":16,""interferer_start_s"":0.0,""interleaver"":""none (not implemented)"",""jitter_ms"":0.0,""measurement_layer"":""auction submit to simulated transmitter service; downstream unmeasured"",""message_input_ring_capacity"":1024,""message_interval_s"":0.01,""message_output_ring_capacity"":1024,""mode"":""scheduler"",""modeled_propagation_delay_s"":0,""modulation"":""qpsk"",""noise_file"":"""",""notch_center_hz"":0.0,""notch_depth_db"":0.0,""notch_width_hz"":0.0,""overload"":1.5,""path0_db"":0.0,""path1_db"":0.0,""path_gains_db"":[0.0,0.0],""path_power_normalization"":""sum of mean path powers = 1"",""pattern"":""random"",""phase_rad"":0.0,""pilot_interval_symbols"":32,""pilot_sequence"":[0,3],""pure_noise"":0,""raw_bit_rate_bps"":38400.0,""receiver_oversampling"":1,""require_avx512"":1,""residual_drift_hz_per_second"":0.0,""residual_offset_hz"":0.0,""rrc_rolloff"":0.25,""sample_clock_resampler"":""linear fractional interpolation"",""sample_rate_hz"":48000,""sample_slip"":0,""sample_slip_index"":-1,""scheduler_log_ring_capacity"":64,""scheduler_transmit_ring_capacity"":8,""seed"":7446529,""seed_policy"":""mt19937 Box-Muller; independent XOR-derived stage seeds; counter-based payload"",""semantics"":""duplicate"",""shaping_span_symbols"":8,""snr_db"":null,""snr_definition"":""nominal unit-mean-constellation complex-sample signal/noise power before fading; not 3 kHz SNR or Eb/N0"",""soak"":0,""soft_clip"":0,""source_load_factor"":0,""source_revision_note"":""git_commit is the base revision; source_tree_sha256 identifies the tested working-tree snapshot"",""source_tree_sha256"":""c060cd257627197371aefae62d11736c8e48b91b86553fd16d6955124a31eefa"",""stage_order"":[""channel"",""interferers"",""impulsive_noise"",""dropout"",""agc"",""clipping"",""band_limiting"",""sample_rate_mismatch"",""residual_offset_drift"",""audio_jitter""],""stage_seeds"":{""gaussian_noise"":7446529,""impulses"":425104558,""interferer"":3806705722,""payload"":3227519775,""rayleigh_path0"":1677424930,""rayleigh_path1"":3376316778},""symbol_rate_hz"":19200.0,""sync_timestamp_enabled"":false,""thresholds"":{""acquisition"":0.25,""pilot"":0.08,""symbol"":0.08},""training_seed"":1515847682,""training_symbols"":64,""tx_gain"":0.65,""waveform"":""Goblin Cannon single-carrier RRC; not a certified Appendix D waveform""}","{""acquisition_time_s"":null,""ber"":null,""bit_observation_fraction"":null,""coded_ber"":null,""frame_error_rate"":null,""frame_survival_fraction"":null,""freshness_ms"":{""max"":19.999999999999975,""p50"":16.666666659730822,""p99"":19.99999999994806,""p99_9"":19.99999999999913},""goodput_bps"":null,""latency_ms"":{""max"":19.999999999999975,""p50"":16.666666659730822,""p99"":19.99999999994806,""p99_9"":19.99999999999913},""latency_ms_by_window"":{""0"":{""max"":19.999999999999975,""p50"":16.66666666656358,""p99"":19.99999999999913,""p99_9"":19.999999999999975},""1"":{""max"":19.999999999994245,""p50"":16.66666666647032,""p99"":19.99999999997648,""p99_9"":19.999999999994245},""2"":{""max"":16.66666666712402,""p50"":13.333333333742203,""p99"":16.66666666712402,""p99_9"":16.66666666712402},""3"":{""max"":16.66666666712402,""p50"":13.333333333790165,""p99"":16.66666666712402,""p99_9"":16.66666666712402},""4"":{""max"":16.66666666712402,""p50"":13.333333333790165,""p99"":16.66666666712402,""p99_9"":16.66666666712402},""5"":{""max"":19.999999999988916,""p50"":13.333333333790165,""p99"":19.99999999990365,""p99_9"":19.999999999988916},""6"":{""max"":19.999999999029683,""p50"":16.666666664683305,""p99"":19.999999998944418,""p99_9"":19.999999999029683},""7"":{""max"":19.99999999690516,""p50"":16.666666662615626,""p99"":19.99999999684121,""p99_9"":19.99999999690516},""8"":{""max"":19.999999994766426,""p50"":16.666666660405838,""p99"":19.999999994695372,""p99_9"":19.999999994766426},""9"":{""max"":19.999999992634798,""p50"":16.666666658217366,""p99"":19.999999992528217,""p99_9"":19.999999992634798}},""message_survival_fraction"":0.6666666666666666,""missing_metric_reasons"":{""ber"":""No comparable RF bits observed, or this probe does not expose bit decisions."",""goodput_bps"":""Probe does not observe delivered application/RF bits."",""reacquisition_time_s"":""No post-dropout valid header observed, or no dropout in this case."",""stac_adjusted_goodput"":""Audit attachment requires login; adjustment and standby definitions unverified."",""stac_usable_time_fraction"":""No production standby-time instrumentation; local proxy is separately labeled.""},""newest_latency_ms_by_key"":{""0"":{""max"":19.99999999999835,""p50"":16.666666659652662,""p99"":19.99999999991431,""p99_9"":19.99999999999835},""1"":{""max"":19.999999999990692,""p50"":16.66666665855132,""p99"":19.99999999991786,""p99_9"":19.999999999990692},""10"":{""max"":19.999999999971596,""p50"":16.666666660235308,""p99"":19.999999999943174,""p99_9"":19.999999999971596},""11"":{""max"":19.99999999999913,""p50"":16.666666659588714,""p99"":19.999999999976037,""p99_9"":19.99999999999913},""12"":{""max"":19.999999999999684,""p50"":16.666666659396867,""p99"":19.9999999999676,""p99_9"":19.999999999999684},""13"":{""max"":19.99999999998492,""p50"":16.66666665988714,""p99"":19.999999999956497,""p99_9"":19.99999999998492},""14"":{""max"":19.999999999988916,""p50"":16.666666660377416,""p99"":19.99999999991875,""p99_9"":19.999999999988916},""15"":{""max"":19.999999999999975,""p50"":16.666666660412943,""p99"":19.9999999999938,""p99_9"":19.999999999999975},""2"":{""max"":19.99999999999913,""p50"":16.666666659041596,""p99"":19.99999999995339,""p99_9"":19.99999999999913},""3"":{""max"":19.999999999997353,""p50"":16.66666666055505,""p99"":19.99999999996893,""p99_9"":19.999999999997353},""4"":{""max"":19.99999999999247,""p50"":16.66666666059058,""p99"":19.999999999907203,""p99_9"":19.99999999999247},""5"":{""max"":19.999999999999353,""p50"":16.666666659489238,""p99"":19.999999999946283,""p99_9"":19.999999999999353},""6"":{""max"":19.99999999999824,""p50"":16.666666658728957,""p99"":19.999999999953832,""p99_9"":19.99999999999824},""7"":{""max"":19.999999999998685,""p50"":16.66666665921923,""p99"":19.999999999972484,""p99_9"":19.999999999998685},""8"":{""max"":19.999999999999574,""p50"":16.666666659482132,""p99"":19.999999999962714,""p99_9"":19.999999999999574},""9"":{""max"":19.999999999999794,""p50"":16.666666659972407,""p99"":19.99999999997648,""p99_9"":19.999999999999794}},""reacquisition_time_s"":null,""stac_adjusted_goodput"":null,""stac_usable_time_fraction"":null,""uptime_fraction"":null,""usable_time_fraction"":null}"
D1_overload_10,7446529,xfail,"{""acquisition_seed"":2779054081,""acquisition_sidelobe_guard_samples"":48,""acquisition_symbols"":64,""aes_initial_counter_hex"":""00000000000000000000000000000000"",""aes_key_generation"":""16 zero bytes (test fixture only)"",""agc_attack_ms"":1.0,""agc_decay_ms"":100.0,""agc_envelope"":""linear dB attack to requested step; 50 ms hold; linear dB decay to baseline"",""agc_start_s"":0.1,""agc_step_db"":0.0,""auction_intake"":0,""audio_event"":"""",""audio_event_s"":0.5,""audio_filter"":""129-tap Hamming-window FIR + two first-order edge allpasses"",""bandwidth_hz"":24000,""calibrate_clip"":0,""capacity_messages_per_s"":100.0,""carrier_correction"":0,""channel_model"":""null"",""chunk_samples"":256,""clip_amplitude"":null,""clock_ppm"":0.0,""constellation_profile"":""mil_std_188_110c_wbhf"",""convolutional_constraint_length"":7,""convolutional_generators_octal"":[""171"",""133""],""crypto"":""AES-128-CTR, fixed test key/counter, no AEAD"",""cw_hz"":0.0,""cw_sir_db"":null,""data_sir_db"":null,""decoded_bit_confidence_threshold"":0.2,""delay_spread_ms"":0.0,""direct_survival"":1.0,""doppler_definition"":""2*sigma of Gaussian power spectrum; zero path carrier shifts"",""doppler_spread_hz"":1.0,""dropout_duration_s"":0.0,""dropout_start_s"":0.0,""duration_s"":60,""equalizer"":{""enabled"":true,""feedback_taps"":4,""feedforward_taps"":3},""execution"":""simulated channel"",""fec"":""none"",""filter_bandwidth_hz"":0.0,""flood"":0,""frame_counter_start"":7000,""frame_symbols"":64,""gaussian_fading_filter"":""129 taps at 32*spread Hz; stationary initialized history; linear audio interpolation"",""git_commit"":""adb3e6d72fac540712255792a1836df655ca4f4f"",""group_delay_ripple_ms"":0.0,""header_repetition"":3,""host_timing"":0,""impulse_above_noise_db"":0.0,""impulse_arrivals"":""periodic at declared rate; Gaussian burst RMS relative to Gaussian floor"",""impulse_ms"":0.0,""impulses_per_second"":0.0,""instruments"":16,""interferer_start_s"":0.0,""interleaver"":""none (not implemented)"",""jitter_ms"":0.0,""measurement_layer"":""auction submit to simulated transmitter service; downstream unmeasured"",""message_input_ring_capacity"":1024,""message_interval_s"":0.01,""message_output_ring_capacity"":1024,""mode"":""scheduler"",""modeled_propagation_delay_s"":0,""modulation"":""qpsk"",""noise_file"":"""",""notch_center_hz"":0.0,""notch_depth_db"":0.0,""notch_width_hz"":0.0,""overload"":10,""path0_db"":0.0,""path1_db"":0.0,""path_gains_db"":[0.0,0.0],""path_power_normalization"":""sum of mean path powers = 1"",""pattern"":""random"",""phase_rad"":0.0,""pilot_interval_symbols"":32,""pilot_sequence"":[0,3],""pure_noise"":0,""raw_bit_rate_bps"":38400.0,""receiver_oversampling"":1,""require_avx512"":1,""residual_drift_hz_per_second"":0.0,""residual_offset_hz"":0.0,""rrc_rolloff"":0.25,""sample_clock_resampler"":""linear fractional interpolation"",""sample_rate_hz"":48000,""sample_slip"":0,""sample_slip_index"":-1,""scheduler_log_ring_capacity"":64,""scheduler_transmit_ring_capacity"":8,""seed"":7446529,""seed_policy"":""mt19937 Box-Muller; independent XOR-derived stage seeds; counter-based payload"",""semantics"":""duplicate"",""shaping_span_symbols"":8,""snr_db"":null,""snr_definition"":""nominal unit-mean-constellation complex-sample signal/noise power before fading; not 3 kHz SNR or Eb/N0"",""soak"":0,""soft_clip"":0,""source_load_factor"":0,""source_revision_note"":""git_commit is the base revision; source_tree_sha256 identifies the tested working-tree snapshot"",""source_tree_sha256"":""c060cd257627197371aefae62d11736c8e48b91b86553fd16d6955124a31eefa"",""stage_order"":[""channel"",""interferers"",""impulsive_noise"",""dropout"",""agc"",""clipping"",""band_limiting"",""sample_rate_mismatch"",""residual_offset_drift"",""audio_jitter""],""stage_seeds"":{""gaussian_noise"":7446529,""impulses"":425104558,""interferer"":3806705722,""payload"":3227519775,""rayleigh_path0"":1677424930,""rayleigh_path1"":3376316778},""symbol_rate_hz"":19200.0,""sync_timestamp_enabled"":false,""thresholds"":{""acquisition"":0.25,""pilot"":0.08,""symbol"":0.08},""training_seed"":1515847682,""training_symbols"":64,""tx_gain"":0.65,""waveform"":""Goblin Cannon single-carrier RRC; not a certified Appendix D waveform""}","{""acquisition_time_s"":null,""ber"":null,""bit_observation_fraction"":null,""coded_ber"":null,""frame_error_rate"":null,""frame_survival_fraction"":null,""freshness_ms"":{""max"":19.999999999999975,""p50"":15.000000002540759,""p99"":19.999999999122053,""p99_9"":19.999999999999908},""goodput_bps"":null,""latency_ms"":{""max"":19.999999999999975,""p50"":15.000000002540759,""p99"":19.999999999122053,""p99_9"":19.999999999999908},""latency_ms_by_window"":{""0"":{""max"":19.999999999999975,""p50"":14.999999999973923,""p99"":19.999999999999908,""p99_9"":19.999999999999975},""1"":{""max"":19.99999999997648,""p50"":15.000000000885194,""p99"":19.99999999963542,""p99_9"":19.99999999997648},""2"":{""max"":19.000000003089212,""p50"":15.000000001620606,""p99"":19.00000000293467,""p99_9"":19.000000003089212},""3"":{""max"":19.999999999829043,""p50"":15.999999994782854,""p99"":19.99999999927482,""p99_9"":19.999999999829043},""4"":{""max"":19.999999994478657,""p50"":15.999999990604863,""p99"":19.999999994137596,""p99_9"":19.999999994478657},""5"":{""max"":19.999999994411155,""p50"":15.99999998757795,""p99"":19.999999993089546,""p99_9"":19.999999994411155},""6"":{""max"":19.999999999804174,""p50"":15.000000002800107,""p99"":19.999999999122053,""p99_9"":19.999999999804174},""7"":{""max"":19.000000020142238,""p50"":15.000000007681535,""p99"":19.00000001939617,""p99_9"":19.000000020142238},""8"":{""max"":19.00000003280411,""p50"":15.000000022773463,""p99"":19.000000032207254,""p99_9"":19.00000003280411},""9"":{""max"":19.000000045679144,""p50"":15.00000003609614,""p99"":19.000000044869125,""p99_9"":19.000000045679144}},""message_survival_fraction"":0.09999833336111065,""missing_metric_reasons"":{""ber"":""No comparable RF bits observed, or this probe does not expose bit decisions."",""goodput_bps"":""Probe does not observe delivered application/RF bits."",""reacquisition_time_s"":""No post-dropout valid header observed, or no dropout in this case."",""stac_adjusted_goodput"":""Audit attachment requires login; adjustment and standby definitions unverified."",""stac_usable_time_fraction"":""No production standby-time instrumentation; local proxy is separately labeled.""},""newest_latency_ms_by_key"":{""0"":{""max"":15.999999999925407,""p50"":12.00000002727819,""p99"":15.999999999753989,""p99_9"":15.999999999925407},""1"":{""max"":15.000000040956252,""p50"":12.999999999857792,""p99"":15.00000003942148,""p99_9"":15.000000040956252},""10"":{""max"":15.999999999888104,""p50"":13.99999998988477,""p99"":15.999999999238845,""p99_9"":15.999999999888104},""11"":{""max"":15.000000045240824,""p50"":13.000000000269019,""p99"":15.000000041659689,""p99_9"":15.000000045240824},""12"":{""max"":15.999999999914749,""p50"":13.999999988982381,""p99"":15.999999999789516,""p99_9"":15.999999999914749},""13"":{""max"":15.000000044835815,""p50"":13.000000001296641,""p99"":15.000000039890438,""p99_9"":15.000000044835815},""14"":{""max"":15.999999999999904,""p50"":13.99999999140178,""p99"":15.999999999487535,""p99_9"":15.999999999999904},""15"":{""max"":15.000000043578154,""p50"":13.000000000271683,""p99"":15.000000039485428,""p99_9"":15.000000043578154},""2"":{""max"":15.999999999999904,""p50"":13.999999988094203,""p99"":15.999999999824155,""p99_9"":15.999999999999904},""3"":{""max"":15.000000042256545,""p50"":13.000000000144674,""p99"":15.000000039187,""p99_9"":15.000000042256545},""4"":{""max"":15.999999999999904,""p50"":12.00000002510393,""p99"":15.999999999632308,""p99_9"":15.999999999999904},""5"":{""max"":15.000000045603201,""p50"":13.000000000651823,""p99"":15.000000041339945,""p99_9"":15.000000045603201},""6"":{""max"":15.99999999989965,""p50"":12.00000003083801,""p99"":15.999999999706915,""p99_9"":15.99999999989965},""7"":{""max"":15.000000042299177,""p50"":13.000000000040757,""p99"":15.00000003786539,""p99_9"":15.000000042299177},""8"":{""max"":15.999999999999904,""p50"":12.000000020371715,""p99"":15.999999999525727,""p99_9"":15.999999999999904},""9"":{""max"":15.000000043940531,""p50"":13.000000012290513,""p99"":15.000000040018335,""p99_9"":15.000000043940531}},""reacquisition_time_s"":null,""stac_adjusted_goodput"":null,""stac_usable_time_fraction"":null,""uptime_fraction"":null,""usable_time_fraction"":null}"
D1_overload_3,7446529,xfail,"{""acquisition_seed"":2779054081,""acquisition_sidelobe_guard_samples"":48,""acquisition_symbols"":64,""aes_initial_counter_hex"":""00000000000000000000000000000000"",""aes_key_generation"":""16 zero bytes (test fixture only)"",""agc_attack_ms"":1.0,""agc_decay_ms"":100.0,""agc_envelope"":""linear dB attack to requested step; 50 ms hold; linear dB decay to baseline"",""agc_start_s"":0.1,""agc_step_db"":0.0,""auction_intake"":0,""audio_event"":"""",""audio_event_s"":0.5,""audio_filter"":""129-tap Hamming-window FIR + two first-order edge allpasses"",""bandwidth_hz"":24000,""calibrate_clip"":0,""capacity_messages_per_s"":100.0,""carrier_correction"":0,""channel_model"":""null"",""chunk_samples"":256,""clip_amplitude"":null,""clock_ppm"":0.0,""constellation_profile"":""mil_std_188_110c_wbhf"",""convolutional_constraint_length"":7,""convolutional_generators_octal"":[""171"",""133""],""crypto"":""AES-128-CTR, fixed test key/counter, no AEAD"",""cw_hz"":0.0,""cw_sir_db"":null,""data_sir_db"":null,""decoded_bit_confidence_threshold"":0.2,""delay_spread_ms"":0.0,""direct_survival"":1.0,""doppler_definition"":""2*sigma of Gaussian power spectrum; zero path carrier shifts"",""doppler_spread_hz"":1.0,""dropout_duration_s"":0.0,""dropout_start_s"":0.0,""duration_s"":60,""equalizer"":{""enabled"":true,""feedback_taps"":4,""feedforward_taps"":3},""execution"":""simulated channel"",""fec"":""none"",""filter_bandwidth_hz"":0.0,""flood"":0,""frame_counter_start"":7000,""frame_symbols"":64,""gaussian_fading_filter"":""129 taps at 32*spread Hz; stationary initialized history; linear audio interpolation"",""git_commit"":""adb3e6d72fac540712255792a1836df655ca4f4f"",""group_delay_ripple_ms"":0.0,""header_repetition"":3,""host_timing"":0,""impulse_above_noise_db"":0.0,""impulse_arrivals"":""periodic at declared rate; Gaussian burst RMS relative to Gaussian floor"",""impulse_ms"":0.0,""impulses_per_second"":0.0,""instruments"":16,""interferer_start_s"":0.0,""interleaver"":""none (not implemented)"",""jitter_ms"":0.0,""measurement_layer"":""auction submit to simulated transmitter service; downstream unmeasured"",""message_input_ring_capacity"":1024,""message_interval_s"":0.01,""message_output_ring_capacity"":1024,""mode"":""scheduler"",""modeled_propagation_delay_s"":0,""modulation"":""qpsk"",""noise_file"":"""",""notch_center_hz"":0.0,""notch_depth_db"":0.0,""notch_width_hz"":0.0,""overload"":3,""path0_db"":0.0,""path1_db"":0.0,""path_gains_db"":[0.0,0.0],""path_power_normalization"":""sum of mean path powers = 1"",""pattern"":""random"",""phase_rad"":0.0,""pilot_interval_symbols"":32,""pilot_sequence"":[0,3],""pure_noise"":0,""raw_bit_rate_bps"":38400.0,""receiver_oversampling"":1,""require_avx512"":1,""residual_drift_hz_per_second"":0.0,""residual_offset_hz"":0.0,""rrc_rolloff"":0.25,""sample_clock_resampler"":""linear fractional interpolation"",""sample_rate_hz"":48000,""sample_slip"":0,""sample_slip_index"":-1,""scheduler_log_ring_capacity"":64,""scheduler_transmit_ring_capacity"":8,""seed"":7446529,""seed_policy"":""mt19937 Box-Muller; independent XOR-derived stage seeds; counter-based payload"",""semantics"":""duplicate"",""shaping_span_symbols"":8,""snr_db"":null,""snr_definition"":""nominal unit-mean-constellation complex-sample signal/noise power before fading; not 3 kHz SNR or Eb/N0"",""soak"":0,""soft_clip"":0,""source_load_factor"":0,""source_revision_note"":""git_commit is the base revision; source_tree_sha256 identifies the tested working-tree snapshot"",""source_tree_sha256"":""c060cd257627197371aefae62d11736c8e48b91b86553fd16d6955124a31eefa"",""stage_order"":[""channel"",""interferers"",""impulsive_noise"",""dropout"",""agc"",""clipping"",""band_limiting"",""sample_rate_mismatch"",""residual_offset_drift"",""audio_jitter""],""stage_seeds"":{""gaussian_noise"":7446529,""impulses"":425104558,""interferer"":3806705722,""payload"":3227519775,""rayleigh_path0"":1677424930,""rayleigh_path1"":3376316778},""symbol_rate_hz"":19200.0,""sync_timestamp_enabled"":false,""thresholds"":{""acquisition"":0.25,""pilot"":0.08,""symbol"":0.08},""training_seed"":1515847682,""training_symbols"":64,""tx_gain"":0.65,""waveform"":""Goblin Cannon single-carrier RRC; not a certified Appendix D waveform""}","{""acquisition_time_s"":null,""ber"":null,""bit_observation_fraction"":null,""coded_ber"":null,""frame_error_rate"":null,""frame_survival_fraction"":null,""freshness_ms"":{""max"":20,""p50"":13.333333351930321,""p99"":19.999999999971596,""p99_9"":19.999999999999464},""goodput_bps"":null,""latency_ms"":{""max"":20,""p50"":13.333333351930321,""p99"":19.999999999971596,""p99_9"":19.999999999999464},""latency_ms_by_window"":{""0"":{""max"":20,""p50"":16.666666666611984,""p99"":19.999999999999464,""p99_9"":20},""1"":{""max"":19.99999999999247,""p50"":13.333333333562791,""p99"":19.99999999995694,""p99_9"":19.99999999999247},""2"":{""max"":19.999999999539497,""p50"":16.666666665805963,""p99"":19.999999999525286,""p99_9"":19.999999999539497},""3"":{""max"":19.99999999883073,""p50"":16.666666665496876,""p99"":19.99999999883073,""p99_9"":19.99999999883073},""4"":{""max"":19.99999999883073,""p50"":16.666666665496876,""p99"":19.99999999883073,""p99_9"":19.99999999883073},""5"":{""max"":19.999999999974705,""p50"":16.666666665496876,""p99"":19.999999999853912,""p99_9"":19.999999999974705},""6"":{""max"":16.666666672563224,""p50"":13.333333336731812,""p99"":16.66666667233585,""p99_9"":16.666666672563224},""7"":{""max"":16.666666676847797,""p50"":13.333333341641662,""p99"":16.66666667665595,""p99_9"":16.666666676847797},""8"":{""max"":16.666666681111053,""p50"":13.333333345869391,""p99"":16.666666680968945,""p99_9"":16.666666681111053},""9"":{""max"":16.666666685345888,""p50"":13.333333349812904,""p99"":16.666666685210885,""p99_9"":16.666666685345888}},""message_survival_fraction"":0.33331481584356426,""missing_metric_reasons"":{""ber"":""No comparable RF bits observed, or this probe does not expose bit decisions."",""goodput_bps"":""Probe does not observe delivered application/RF bits."",""reacquisition_time_s"":""No post-dropout valid header observed, or no dropout in this case."",""stac_adjusted_goodput"":""Audit attachment requires login; adjustment and standby definitions unverified."",""stac_usable_time_fraction"":""No production standby-time instrumentation; local proxy is separately labeled.""},""newest_latency_ms_by_key"":{""0"":{""max"":19.999999999987807,""p50"":13.333333351447152,""p99"":19.999999999960494,""p99_9"":19.999999999987807},""1"":{""max"":19.999999999980478,""p50"":13.333333349592635,""p99"":19.999999999932072,""p99_9"":19.999999999980478},""10"":{""max"":19.999999999995353,""p50"":16.666666665496876,""p99"":19.999999999969376,""p99_9"":19.999999999995353},""11"":{""max"":19.999999999996465,""p50"":16.666666665496876,""p99"":19.99999999997293,""p99_9"":19.999999999996465},""12"":{""max"":19.999999999999794,""p50"":13.3333333512482,""p99"":19.999999999983366,""p99_9"":19.999999999999794},""13"":{""max"":19.999999999998685,""p50"":13.333333350644239,""p99"":19.999999999978257,""p99_9"":19.999999999998685},""14"":{""max"":19.999999999989136,""p50"":13.333333348107601,""p99"":19.99999999993829,""p99_9"":19.999999999989136},""15"":{""max"":19.99999999999974,""p50"":13.33333335182374,""p99"":19.999999999986695,""p99_9"":19.99999999999974},""2"":{""max"":19.999999999999464,""p50"":16.666666665496876,""p99"":19.9999999999827,""p99_9"":19.999999999999464},""3"":{""max"":19.99999999999996,""p50"":13.333333349748955,""p99"":19.99999999999247,""p99_9"":19.99999999999996},""4"":{""max"":19.99999999997293,""p50"":13.333333349713428,""p99"":19.999999999944507,""p99_9"":19.99999999997293},""5"":{""max"":19.999999999999574,""p50"":16.666666665496876,""p99"":19.99999999997515,""p99_9"":19.999999999999574},""6"":{""max"":19.999999999998018,""p50"":13.333333348960252,""p99"":19.999999999974705,""p99_9"":19.999999999998018},""7"":{""max"":19.999999999999297,""p50"":16.666666665496876,""p99"":19.99999999996538,""p99_9"":19.999999999999297},""8"":{""max"":19.999999999999684,""p50"":16.666666665496876,""p99"":19.99999999998181,""p99_9"":19.999999999999684},""9"":{""max"":20,""p50"":16.666666665496876,""p99"":19.99999999998181,""p99_9"":20}},""reacquisition_time_s"":null,""stac_adjusted_goodput"":null,""stac_usable_time_fraction"":null,""uptime_fraction"":null,""usable_time_fraction"":null}"
